Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
3 ani, Feminin, Urban, Bistrita-Nasaud, Anul 2022, Numar persoane, 712
3 ani, Feminin, Urban, Bistrita-Nasaud, Anul 2023, Numar persoane, 677
3 ani, Feminin, Urban, Cluj, Anul 2021, Numar persoane, 2254
3 ani, Feminin, Urban, Cluj, Anul 2022, Numar persoane, 2074
3 ani, Feminin, Urban, Cluj, Anul 2023, Numar persoane, 2000
3 ani, Feminin, Urban, Maramures, Anul 2021, Numar persoane, 1368
3 ani, Feminin, Urban, Maramures, Anul 2022, Numar persoane, 1267
3 ani, Feminin, Urban, Maramures, Anul 2023, Numar persoane, 1193
3 ani, Feminin, Urban, Satu Mare, Anul 2021, Numar persoane, 758
3 ani, Feminin, Urban, Satu Mare, Anul 2022, Numar persoane, 656
3 ani, Feminin, Urban, Satu Mare, Anul 2023, Numar persoane, 635
3 ani, Feminin, Urban, Salaj, Anul 2021, Numar persoane, 492
3 ani, Feminin, Urban, Salaj, Anul 2022, Numar persoane, 473
3 ani, Feminin, Urban, Salaj, Anul 2023, Numar persoane, 454
3 ani, Feminin, Urban, Alba, Anul 2021, Numar persoane, 893
3 ani, Feminin, Urban, Alba, Anul 2022, Numar persoane, 861
3 ani, Feminin, Urban, Alba, Anul 2023, Numar persoane, 866
3 ani, Feminin, Urban, Brasov, Anul 2021, Numar persoane, 1976
3 ani, Feminin, Urban, Brasov, Anul 2022, Numar persoane, 1940
3 ani, Feminin, Urban, Brasov, Anul 2023, Numar persoane, 1897
3 ani, Feminin, Urban, Covasna, Anul 2021, Numar persoane, 449
3 ani, Feminin, Urban, Covasna, Anul 2022, Numar persoane, 441
3 ani, Feminin, Urban, Covasna, Anul 2023, Numar persoane, 431
3 ani, Feminin, Urban, Harghita, Anul 2021, Numar persoane, 607
3 ani, Feminin, Urban, Harghita, Anul 2022, Numar persoane, 573
3 ani, Feminin, Urban, Harghita, Anul 2023, Numar persoane, 536
3 ani, Feminin, Urban, Mures, Anul 2021, Numar persoane, 1305
3 ani, Feminin, Urban, Mures, Anul 2022, Numar persoane, 1191
3 ani, Feminin, Urban, Mures, Anul 2023, Numar persoane, 1119
3 ani, Feminin, Urban, Sibiu, Anul 2021, Numar persoane, 1374
3 ani, Feminin, Urban, Sibiu, Anul 2022, Numar persoane, 1257
3 ani, Feminin, Urban, Sibiu, Anul 2023, Numar persoane, 1194
3 ani, Feminin, Urban, Bacau, Anul 2021, Numar persoane, 1466
3 ani, Feminin, Urban, Bacau, Anul 2022, Numar persoane, 1331
3 ani, Feminin, Urban, Bacau, Anul 2023, Numar persoane, 1251
3 ani, Feminin, Urban, Botosani, Anul 2021, Numar persoane, 752
3 ani, Feminin, Urban, Botosani, Anul 2022, Numar persoane, 735
3 ani, Feminin, Urban, Botosani, Anul 2023, Numar persoane, 709
3 ani, Feminin, Urban, Iasi, Anul 2021, Numar persoane, 2599
3 ani, Feminin, Urban, Iasi, Anul 2022, Numar persoane, 2318
3 ani, Feminin, Urban, Iasi, Anul 2023, Numar persoane, 2161
3 ani, Feminin, Urban, Neamt, Anul 2021, Numar persoane, 878
3 ani, Feminin, Urban, Neamt, Anul 2022, Numar persoane, 839
3 ani, Feminin, Urban, Neamt, Anul 2023, Numar persoane, 784
3 ani, Feminin, Urban, Suceava, Anul 2021, Numar persoane, 1667
3 ani, Feminin, Urban, Suceava, Anul 2022, Numar persoane, 1516
3 ani, Feminin, Urban, Suceava, Anul 2023, Numar persoane, 1451
3 ani, Feminin, Urban, Vaslui, Anul 2021, Numar persoane, 1116
3 ani, Feminin, Urban, Vaslui, Anul 2022, Numar persoane, 1024
3 ani, Feminin, Urban, Vaslui, Anul 2023, Numar persoane, 1058
3 ani, Feminin, Urban, Braila, Anul 2021, Numar persoane, 708
3 ani, Feminin, Urban, Braila, Anul 2022, Numar persoane, 671
3 ani, Feminin, Urban, Braila, Anul 2023, Numar persoane, 624
3 ani, Feminin, Urban, Buzau, Anul 2021, Numar persoane, 702
3 ani, Feminin, Urban, Buzau, Anul 2022, Numar persoane, 669
3 ani, Feminin, Urban, Buzau, Anul 2023, Numar persoane, 643
3 ani, Feminin, Urban, Constanta, Anul 2021, Numar persoane, 2290
3 ani, Feminin, Urban, Constanta, Anul 2022, Numar persoane, 2173
3 ani, Feminin, Urban, Constanta, Anul 2023, Numar persoane, 2119
3 ani, Feminin, Urban, Galati, Anul 2021, Numar persoane, 1407
3 ani, Feminin, Urban, Galati, Anul 2022, Numar persoane, 1264
3 ani, Feminin, Urban, Galati, Anul 2023, Numar persoane, 1223
3 ani, Feminin, Urban, Tulcea, Anul 2021, Numar persoane, 419
3 ani, Feminin, Urban, Tulcea, Anul 2022, Numar persoane, 415
3 ani, Feminin, Urban, Tulcea, Anul 2023, Numar persoane, 404
3 ani, Feminin, Urban, Vrancea, Anul 2021, Numar persoane, 630
3 ani, Feminin, Urban, Vrancea, Anul 2022, Numar persoane, 603
3 ani, Feminin, Urban, Vrancea, Anul 2023, Numar persoane, 541
3 ani, Feminin, Urban, Arges, Anul 2021, Numar persoane, 1299
3 ani, Feminin, Urban, Arges, Anul 2022, Numar persoane, 1246
3 ani, Feminin, Urban, Arges, Anul 2023, Numar persoane, 1162
3 ani, Feminin, Urban, Calarasi, Anul 2021, Numar persoane, 538
3 ani, Feminin, Urban, Calarasi, Anul 2022, Numar persoane, 508
3 ani, Feminin, Urban, Calarasi, Anul 2023, Numar persoane, 485
3 ani, Feminin, Urban, Dambovita, Anul 2021, Numar persoane, 617
3 ani, Feminin, Urban, Dambovita, Anul 2022, Numar persoane, 624
3 ani, Feminin, Urban, Dambovita, Anul 2023, Numar persoane, 612
3 ani, Feminin, Urban, Giurgiu, Anul 2021, Numar persoane, 345
3 ani, Feminin, Urban, Giurgiu, Anul 2022, Numar persoane, 347
3 ani, Feminin, Urban, Giurgiu, Anul 2023, Numar persoane, 343
3 ani, Feminin, Urban, Ialomita, Anul 2021, Numar persoane, 683
3 ani, Feminin, Urban, Ialomita, Anul 2022, Numar persoane, 642
3 ani, Feminin, Urban, Ialomita, Anul 2023, Numar persoane, 590
3 ani, Feminin, Urban, Prahova, Anul 2021, Numar persoane, 1542
3 ani, Feminin, Urban, Prahova, Anul 2022, Numar persoane, 1433
3 ani, Feminin, Urban, Prahova, Anul 2023, Numar persoane, 1318
3 ani, Feminin, Urban, Teleorman, Anul 2021, Numar persoane, 456
3 ani, Feminin, Urban, Teleorman, Anul 2022, Numar persoane, 427
3 ani, Feminin, Urban, Teleorman, Anul 2023, Numar persoane, 414
3 ani, Feminin, Urban, Ilfov, Anul 2021, Numar persoane, 1481
3 ani, Feminin, Urban, Ilfov, Anul 2022, Numar persoane, 1684
3 ani, Feminin, Urban, Ilfov, Anul 2023, Numar persoane, 1646
3 ani, Feminin, Urban, Municipiul Bucuresti, Anul 2021, Numar persoane, 10084
3 ani, Feminin, Urban, Municipiul Bucuresti, Anul 2022, Numar persoane, 8796
3 ani, Feminin, Urban, Municipiul Bucuresti, Anul 2023, Numar persoane, 8472
3 ani, Feminin, Urban, Dolj, Anul 2021, Numar persoane, 1597
3 ani, Feminin, Urban, Dolj, Anul 2022, Numar persoane, 1501
3 ani, Feminin, Urban, Dolj, Anul 2023, Numar persoane, 1452
3 ani, Feminin, Urban, Gorj, Anul 2021, Numar persoane, 620
3 ani, Feminin, Urban, Gorj, Anul 2022, Numar persoane, 625
3 ani, Feminin, Urban, Gorj, Anul 2023, Numar persoane, 595
3 ani, Feminin, Urban, Mehedinti, Anul 2021, Numar persoane, 428
3 ani, Feminin, Urban, Mehedinti, Anul 2022, Numar persoane, 438
3 ani, Feminin, Urban, Mehedinti, Anul 2023, Numar persoane, 421
3 ani, Feminin, Urban, Olt, Anul 2021, Numar persoane, 778
3 ani, Feminin, Urban, Olt, Anul 2022, Numar persoane, 780
3 ani, Feminin, Urban, Olt, Anul 2023, Numar persoane, 758
3 ani, Feminin, Urban, Valcea, Anul 2021, Numar persoane, 757
3 ani, Feminin, Urban, Valcea, Anul 2022, Numar persoane, 762
3 ani, Feminin, Urban, Valcea, Anul 2023, Numar persoane, 712
3 ani, Feminin, Urban, Arad, Anul 2021, Numar persoane, 1165
3 ani, Feminin, Urban, Arad, Anul 2022, Numar persoane, 1126
3 ani, Feminin, Urban, Arad, Anul 2023, Numar persoane, 1063
3 ani, Feminin, Urban, Caras-Severin, Anul 2021, Numar persoane, 622
3 ani, Feminin, Urban, Caras-Severin, Anul 2022, Numar persoane, 568
3 ani, Feminin, Urban, Caras-Severin, Anul 2023, Numar persoane, 521
3 ani, Feminin, Urban, Hunedoara, Anul 2021, Numar persoane, 1299
3 ani, Feminin, Urban, Hunedoara, Anul 2022, Numar persoane, 1123
3 ani, Feminin, Urban, Hunedoara, Anul 2023, Numar persoane, 1072
3 ani, Feminin, Urban, Timis, Anul 2021, Numar persoane, 1903
3 ani, Feminin, Urban, Timis, Anul 2022, Numar persoane, 1694
3 ani, Feminin, Urban, Timis, Anul 2023, Numar persoane, 1627
3 ani, Feminin, Rural, Bihor, Anul 2021, Numar persoane, 1592
3 ani, Feminin, Rural, Bihor, Anul 2022, Numar persoane, 1649
3 ani, Feminin, Rural, Bihor, Anul 2023, Numar persoane, 1629
3 ani, Feminin, Rural, Bistrita-Nasaud, Anul 2021, Numar persoane, 1019
3 ani, Feminin, Rural, Bistrita-Nasaud, Anul 2022, Numar persoane, 1020
3 ani, Feminin, Rural, Bistrita-Nasaud, Anul 2023, Numar persoane, 986
3 ani, Feminin, Rural, Cluj, Anul 2021, Numar persoane, 1489
3 ani, Feminin, Rural, Cluj, Anul 2022, Numar persoane, 1591
3 ani, Feminin, Rural, Cluj, Anul 2023, Numar persoane, 1555
3 ani, Feminin, Rural, Maramures, Anul 2021, Numar persoane, 1026
3 ani, Feminin, Rural, Maramures, Anul 2022, Numar persoane, 1023
3 ani, Feminin, Rural, Maramures, Anul 2023, Numar persoane, 984
3 ani, Feminin, Rural, Satu Mare, Anul 2021, Numar persoane, 1065
3 ani, Feminin, Rural, Satu Mare, Anul 2022, Numar persoane, 1067
3 ani, Feminin, Rural, Satu Mare, Anul 2023, Numar persoane, 1051
3 ani, Feminin, Rural, Salaj, Anul 2021, Numar persoane, 686
3 ani, Feminin, Rural, Salaj, Anul 2022, Numar persoane, 671
3 ani, Feminin, Rural, Salaj, Anul 2023, Numar persoane, 678
3 ani, Feminin, Rural, Alba, Anul 2021, Numar persoane, 606
3 ani, Feminin, Rural, Alba, Anul 2022, Numar persoane, 640
3 ani, Feminin, Rural, Alba, Anul 2023, Numar persoane, 652
3 ani, Feminin, Rural, Brasov, Anul 2021, Numar persoane, 1183
3 ani, Feminin, Rural, Brasov, Anul 2022, Numar persoane, 1248
3 ani, Feminin, Rural, Brasov, Anul 2023, Numar persoane, 1276
3 ani, Feminin, Rural, Covasna, Anul 2021, Numar persoane, 647
3 ani, Feminin, Rural, Covasna, Anul 2022, Numar persoane, 656
3 ani, Feminin, Rural, Covasna, Anul 2023, Numar persoane, 655
3 ani, Feminin, Rural, Harghita, Anul 2021, Numar persoane, 962
3 ani, Feminin, Rural, Harghita, Anul 2022, Numar persoane, 1029
3 ani, Feminin, Rural, Harghita, Anul 2023, Numar persoane, 994
3 ani, Feminin, Rural, Mures, Anul 2021, Numar persoane, 1574
3 ani, Feminin, Rural, Mures, Anul 2022, Numar persoane, 1604
3 ani, Feminin, Rural, Mures, Anul 2023, Numar persoane, 1598
3 ani, Feminin, Rural, Sibiu, Anul 2021, Numar persoane, 947
3 ani, Feminin, Rural, Sibiu, Anul 2022, Numar persoane, 949
3 ani, Feminin, Rural, Sibiu, Anul 2023, Numar persoane, 952
3 ani, Feminin, Rural, Bacau, Anul 2021, Numar persoane, 1835
3 ani, Feminin, Rural, Bacau, Anul 2022, Numar persoane, 1849
3 ani, Feminin, Rural, Bacau, Anul 2023, Numar persoane, 1818
3 ani, Feminin, Rural, Botosani, Anul 2021, Numar persoane, 1194
3 ani, Feminin, Rural, Botosani, Anul 2022, Numar persoane, 1213
3 ani, Feminin, Rural, Botosani, Anul 2023, Numar persoane, 1227
3 ani, Feminin, Rural, Iasi, Anul 2021, Numar persoane, 2744
3 ani, Feminin, Rural, Iasi, Anul 2022, Numar persoane, 2830
3 ani, Feminin, Rural, Iasi, Anul 2023, Numar persoane, 2842
3 ani, Feminin, Rural, Neamt, Anul 2021, Numar persoane, 1450
3 ani, Feminin, Rural, Neamt, Anul 2022, Numar persoane, 1430
3 ani, Feminin, Rural, Neamt, Anul 2023, Numar persoane, 1386
3 ani, Feminin, Rural, Suceava, Anul 2021, Numar persoane, 2462
3 ani, Feminin, Rural, Suceava, Anul 2022, Numar persoane, 2612
3 ani, Feminin, Rural, Suceava, Anul 2023, Numar persoane, 2525
3 ani, Feminin, Rural, Vaslui, Anul 2021, Numar persoane, 1141
3 ani, Feminin, Rural, Vaslui, Anul 2022, Numar persoane, 1093
3 ani, Feminin, Rural, Vaslui, Anul 2023, Numar persoane, 1053
3 ani, Feminin, Rural, Braila, Anul 2021, Numar persoane, 480
3 ani, Feminin, Rural, Braila, Anul 2022, Numar persoane, 483
3 ani, Feminin, Rural, Braila, Anul 2023, Numar persoane, 471
3 ani, Feminin, Rural, Buzau, Anul 2021, Numar persoane, 1079
3 ani, Feminin, Rural, Buzau, Anul 2022, Numar persoane, 1101
3 ani, Feminin, Rural, Buzau, Anul 2023, Numar persoane, 1098
3 ani, Feminin, Rural, Constanta, Anul 2021, Numar persoane, 1294
3 ani, Feminin, Rural, Constanta, Anul 2022, Numar persoane, 1281
3 ani, Feminin, Rural, Constanta, Anul 2023, Numar persoane, 1269
3 ani, Feminin, Rural, Galati, Anul 2021, Numar persoane, 1189
3 ani, Feminin, Rural, Galati, Anul 2022, Numar persoane, 1169
3 ani, Feminin, Rural, Galati, Anul 2023, Numar persoane, 1150
3 ani, Feminin, Rural, Tulcea, Anul 2021, Numar persoane, 474
3 ani, Feminin, Rural, Tulcea, Anul 2022, Numar persoane, 450
3 ani, Feminin, Rural, Tulcea, Anul 2023, Numar persoane, 423
3 ani, Feminin, Rural, Vrancea, Anul 2021, Numar persoane, 1110
3 ani, Feminin, Rural, Vrancea, Anul 2022, Numar persoane, 1108
3 ani, Feminin, Rural, Vrancea, Anul 2023, Numar persoane, 1086
3 ani, Feminin, Rural, Arges, Anul 2021, Numar persoane, 1359
3 ani, Feminin, Rural, Arges, Anul 2022, Numar persoane, 1366
3 ani, Feminin, Rural, Arges, Anul 2023, Numar persoane, 1325
3 ani, Feminin, Rural, Calarasi, Anul 2021, Numar persoane, 836
3 ani, Feminin, Rural, Calarasi, Anul 2022, Numar persoane, 909
3 ani, Feminin, Rural, Calarasi, Anul 2023, Numar persoane, 913
3 ani, Feminin, Rural, Dambovita, Anul 2021, Numar persoane, 1609
3 ani, Feminin, Rural, Dambovita, Anul 2022, Numar persoane, 1707
3 ani, Feminin, Rural, Dambovita, Anul 2023, Numar persoane, 1677
3 ani, Feminin, Rural, Giurgiu, Anul 2021, Numar persoane, 864
3 ani, Feminin, Rural, Giurgiu, Anul 2022, Numar persoane, 869
3 ani, Feminin, Rural, Giurgiu, Anul 2023, Numar persoane, 825
3 ani, Feminin, Rural, Ialomita, Anul 2021, Numar persoane, 714
3 ani, Feminin, Rural, Ialomita, Anul 2022, Numar persoane, 732
3 ani, Feminin, Rural, Ialomita, Anul 2023, Numar persoane, 725
3 ani, Feminin, Rural, Prahova, Anul 2021, Numar persoane, 1609
3 ani, Feminin, Rural, Prahova, Anul 2022, Numar persoane, 1656
3 ani, Feminin, Rural, Prahova, Anul 2023, Numar persoane, 1599
3 ani, Feminin, Rural, Teleorman, Anul 2021, Numar persoane, 880
3 ani, Feminin, Rural, Teleorman, Anul 2022, Numar persoane, 850
3 ani, Feminin, Rural, Teleorman, Anul 2023, Numar persoane, 791
3 ani, Feminin, Rural, Ilfov, Anul 2021, Numar persoane, 1645
3 ani, Feminin, Rural, Ilfov, Anul 2022, Numar persoane, 1841
3 ani, Feminin, Rural, Ilfov, Anul 2023, Numar persoane, 1857
3 ani, Feminin, Rural, Dolj, Anul 2021, Numar persoane, 1470
3 ani, Feminin, Rural, Dolj, Anul 2022, Numar persoane, 1465
3 ani, Feminin, Rural, Dolj, Anul 2023, Numar persoane, 1507
3 ani, Feminin, Rural, Gorj, Anul 2021, Numar persoane, 629
3 ani, Feminin, Rural, Gorj, Anul 2022, Numar persoane, 672
3 ani, Feminin, Rural, Gorj, Anul 2023, Numar persoane, 666
3 ani, Feminin, Rural, Mehedinti, Anul 2021, Numar persoane, 497
3 ani, Feminin, Rural, Mehedinti, Anul 2022, Numar persoane, 584
3 ani, Feminin, Rural, Mehedinti, Anul 2023, Numar persoane, 546
3 ani, Feminin, Rural, Olt, Anul 2021, Numar persoane, 838
3 ani, Feminin, Rural, Olt, Anul 2022, Numar persoane, 828
3 ani, Feminin, Rural, Olt, Anul 2023, Numar persoane, 819
3 ani, Feminin, Rural, Valcea, Anul 2021, Numar persoane, 696
3 ani, Feminin, Rural, Valcea, Anul 2022, Numar persoane, 723
3 ani, Feminin, Rural, Valcea, Anul 2023, Numar persoane, 681
3 ani, Feminin, Rural, Arad, Anul 2021, Numar persoane, 938
3 ani, Feminin, Rural, Arad, Anul 2022, Numar persoane, 1013
3 ani, Feminin, Rural, Arad, Anul 2023, Numar persoane, 994
3 ani, Feminin, Rural, Caras-Severin, Anul 2021, Numar persoane, 478
3 ani, Feminin, Rural, Caras-Severin, Anul 2022, Numar persoane, 480
3 ani, Feminin, Rural, Caras-Severin, Anul 2023, Numar persoane, 471
3 ani, Feminin, Rural, Hunedoara, Anul 2021, Numar persoane, 341
3 ani, Feminin, Rural, Hunedoara, Anul 2022, Numar persoane, 350
3 ani, Feminin, Rural, Hunedoara, Anul 2023, Numar persoane, 360
3 ani, Feminin, Rural, Timis, Anul 2021, Numar persoane, 1859
3 ani, Feminin, Rural, Timis, Anul 2022, Numar persoane, 2012
3 ani, Feminin, Rural, Timis, Anul 2023, Numar persoane, 2008
4 ani, Total, Total, Bihor, Anul 2021, Numar persoane, 6136
4 ani, Total, Total, Bihor, Anul 2022, Numar persoane, 6288
4 ani, Total, Total, Bihor, Anul 2023, Numar persoane, 6245
4 ani, Total, Total, Bistrita-Nasaud, Anul 2021, Numar persoane, 3556
4 ani, Total, Total, Bistrita-Nasaud, Anul 2022, Numar persoane, 3637
4 ani, Total, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 3525
4 ani, Total, Total, Cluj, Anul 2021, Numar persoane, 7465
4 ani, Total, Total, Cluj, Anul 2022, Numar persoane, 7574
4 ani, Total, Total, Cluj, Anul 2023, Numar persoane, 7517
4 ani, Total, Total, Maramures, Anul 2021, Numar persoane, 4896
4 ani, Total, Total, Maramures, Anul 2022, Numar persoane, 4917
4 ani, Total, Total, Maramures, Anul 2023, Numar persoane, 4771
4 ani, Total, Total, Satu Mare, Anul 2021, Numar persoane, 3744
4 ani, Total, Total, Satu Mare, Anul 2022, Numar persoane, 3712
4 ani, Total, Total, Satu Mare, Anul 2023, Numar persoane, 3581
4 ani, Total, Total, Salaj, Anul 2021, Numar persoane, 2423
4 ani, Total, Total, Salaj, Anul 2022, Numar persoane, 2402
4 ani, Total, Total, Salaj, Anul 2023, Numar persoane, 2354
4 ani, Total, Total, Alba, Anul 2021, Numar persoane, 3190
4 ani, Total, Total, Alba, Anul 2022, Numar persoane, 3158
4 ani, Total, Total, Alba, Anul 2023, Numar persoane, 3128
4 ani, Total, Total, Brasov, Anul 2021, Numar persoane, 6643
4 ani, Total, Total, Brasov, Anul 2022, Numar persoane, 6636
4 ani, Total, Total, Brasov, Anul 2023, Numar persoane, 6658
4 ani, Total, Total, Covasna, Anul 2021, Numar persoane, 2235
4 ani, Total, Total, Covasna, Anul 2022, Numar persoane, 2250
4 ani, Total, Total, Covasna, Anul 2023, Numar persoane, 2268
4 ani, Total, Total, Harghita, Anul 2021, Numar persoane, 3278
4 ani, Total, Total, Harghita, Anul 2022, Numar persoane, 3311
4 ani, Total, Total, Harghita, Anul 2023, Numar persoane, 3331
4 ani, Total, Total, Mures, Anul 2021, Numar persoane, 5949
4 ani, Total, Total, Mures, Anul 2022, Numar persoane, 5909
4 ani, Total, Total, Mures, Anul 2023, Numar persoane, 5695
4 ani, Total, Total, Sibiu, Anul 2021, Numar persoane, 4722
4 ani, Total, Total, Sibiu, Anul 2022, Numar persoane, 4723
4 ani, Total, Total, Sibiu, Anul 2023, Numar persoane, 4594
4 ani, Total, Total, Bacau, Anul 2021, Numar persoane, 6817
4 ani, Total, Total, Bacau, Anul 2022, Numar persoane, 6695
4 ani, Total, Total, Bacau, Anul 2023, Numar persoane, 6554
4 ani, Total, Total, Botosani, Anul 2021, Numar persoane, 3991
4 ani, Total, Total, Botosani, Anul 2022, Numar persoane, 4124
4 ani, Total, Total, Botosani, Anul 2023, Numar persoane, 4151
4 ani, Total, Total, Iasi, Anul 2021, Numar persoane, 10635
4 ani, Total, Total, Iasi, Anul 2022, Numar persoane, 10755
4 ani, Total, Total, Iasi, Anul 2023, Numar persoane, 10598
4 ani, Total, Total, Neamt, Anul 2021, Numar persoane, 4781
4 ani, Total, Total, Neamt, Anul 2022, Numar persoane, 4741
4 ani, Total, Total, Neamt, Anul 2023, Numar persoane, 4649
4 ani, Total, Total, Suceava, Anul 2021, Numar persoane, 8540
4 ani, Total, Total, Suceava, Anul 2022, Numar persoane, 8664
4 ani, Total, Total, Suceava, Anul 2023, Numar persoane, 8510
4 ani, Total, Total, Vaslui, Anul 2021, Numar persoane, 4681
4 ani, Total, Total, Vaslui, Anul 2022, Numar persoane, 4383
4 ani, Total, Total, Vaslui, Anul 2023, Numar persoane, 4348
4 ani, Total, Total, Braila, Anul 2021, Numar persoane, 2454
4 ani, Total, Total, Braila, Anul 2022, Numar persoane, 2425
4 ani, Total, Total, Braila, Anul 2023, Numar persoane, 2418
4 ani, Total, Total, Buzau, Anul 2021, Numar persoane, 3719
4 ani, Total, Total, Buzau, Anul 2022, Numar persoane, 3671
4 ani, Total, Total, Buzau, Anul 2023, Numar persoane, 3657
4 ani, Total, Total, Constanta, Anul 2021, Numar persoane, 7472
4 ani, Total, Total, Constanta, Anul 2022, Numar persoane, 7292
4 ani, Total, Total, Constanta, Anul 2023, Numar persoane, 6986
4 ani, Total, Total, Galati, Anul 2021, Numar persoane, 5310
4 ani, Total, Total, Galati, Anul 2022, Numar persoane, 5138
4 ani, Total, Total, Galati, Anul 2023, Numar persoane, 5040
4 ani, Total, Total, Tulcea, Anul 2021, Numar persoane, 1833
4 ani, Total, Total, Tulcea, Anul 2022, Numar persoane, 1822
4 ani, Total, Total, Tulcea, Anul 2023, Numar persoane, 1739
4 ani, Total, Total, Vrancea, Anul 2021, Numar persoane, 3575
4 ani, Total, Total, Vrancea, Anul 2022, Numar persoane, 3617
4 ani, Total, Total, Vrancea, Anul 2023, Numar persoane, 3504
4 ani, Total, Total, Arges, Anul 2021, Numar persoane, 5488
4 ani, Total, Total, Arges, Anul 2022, Numar persoane, 5587
4 ani, Total, Total, Arges, Anul 2023, Numar persoane, 5407
4 ani, Total, Total, Calarasi, Anul 2021, Numar persoane, 2957
4 ani, Total, Total, Calarasi, Anul 2022, Numar persoane, 3000
4 ani, Total, Total, Calarasi, Anul 2023, Numar persoane, 2960
4 ani, Total, Total, Dambovita, Anul 2021, Numar persoane, 4658
4 ani, Total, Total, Dambovita, Anul 2022, Numar persoane, 4881
4 ani, Total, Total, Dambovita, Anul 2023, Numar persoane, 4800
4 ani, Total, Total, Giurgiu, Anul 2021, Numar persoane, 2522
4 ani, Total, Total, Giurgiu, Anul 2022, Numar persoane, 2645
4 ani, Total, Total, Giurgiu, Anul 2023, Numar persoane, 2567
4 ani, Total, Total, Ialomita, Anul 2021, Numar persoane, 2855
4 ani, Total, Total, Ialomita, Anul 2022, Numar persoane, 2917
4 ani, Total, Total, Ialomita, Anul 2023, Numar persoane, 2844
4 ani, Total, Total, Prahova, Anul 2021, Numar persoane, 6550
4 ani, Total, Total, Prahova, Anul 2022, Numar persoane, 6544
4 ani, Total, Total, Prahova, Anul 2023, Numar persoane, 6327
4 ani, Total, Total, Teleorman, Anul 2021, Numar persoane, 2721
4 ani, Total, Total, Teleorman, Anul 2022, Numar persoane, 2733
4 ani, Total, Total, Teleorman, Anul 2023, Numar persoane, 2662
4 ani, Total, Total, Ilfov, Anul 2021, Numar persoane, 6587
4 ani, Total, Total, Ilfov, Anul 2022, Numar persoane, 7443
4 ani, Total, Total, Ilfov, Anul 2023, Numar persoane, 7410
4 ani, Total, Total, Municipiul Bucuresti, Anul 2021, Numar persoane, 19596
4 ani, Total, Total, Municipiul Bucuresti, Anul 2022, Numar persoane, 18603
4 ani, Total, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 18133
4 ani, Total, Total, Dolj, Anul 2021, Numar persoane, 6306
4 ani, Total, Total, Dolj, Anul 2022, Numar persoane, 6338
4 ani, Total, Total, Dolj, Anul 2023, Numar persoane, 6244
4 ani, Total, Total, Gorj, Anul 2021, Numar persoane, 2677
4 ani, Total, Total, Gorj, Anul 2022, Numar persoane, 2803
4 ani, Total, Total, Gorj, Anul 2023, Numar persoane, 2714
4 ani, Total, Total, Mehedinti, Anul 2021, Numar persoane, 2048
4 ani, Total, Total, Mehedinti, Anul 2022, Numar persoane, 2179
4 ani, Total, Total, Mehedinti, Anul 2023, Numar persoane, 2108
4 ani, Total, Total, Olt, Anul 2021, Numar persoane, 3345
4 ani, Total, Total, Olt, Anul 2022, Numar persoane, 3354
4 ani, Total, Total, Olt, Anul 2023, Numar persoane, 3304
4 ani, Total, Total, Valcea, Anul 2021, Numar persoane, 2882
4 ani, Total, Total, Valcea, Anul 2022, Numar persoane, 3131
4 ani, Total, Total, Valcea, Anul 2023, Numar persoane, 3047
4 ani, Total, Total, Arad, Anul 2021, Numar persoane, 4324
4 ani, Total, Total, Arad, Anul 2022, Numar persoane, 4444
4 ani, Total, Total, Arad, Anul 2023, Numar persoane, 4434
4 ani, Total, Total, Caras-Severin, Anul 2021, Numar persoane, 2365
4 ani, Total, Total, Caras-Severin, Anul 2022, Numar persoane, 2258
4 ani, Total, Total, Caras-Severin, Anul 2023, Numar persoane, 2172
4 ani, Total, Total, Hunedoara, Anul 2021, Numar persoane, 3426
4 ani, Total, Total, Hunedoara, Anul 2022, Numar persoane, 3121
4 ani, Total, Total, Hunedoara, Anul 2023, Numar persoane, 2994
4 ani, Total, Total, Timis, Anul 2021, Numar persoane, 7580
4 ani, Total, Total, Timis, Anul 2022, Numar persoane, 7592
4 ani, Total, Total, Timis, Anul 2023, Numar persoane, 7614
4 ani, Total, Urban, Bihor, Anul 2021, Numar persoane, 2752
4 ani, Total, Urban, Bihor, Anul 2022, Numar persoane, 2735
4 ani, Total, Urban, Bihor, Anul 2023, Numar persoane, 2686
4 ani, Total, Urban, Bistrita-Nasaud, Anul 2021, Numar persoane, 1428
4 ani, Total, Urban, Bistrita-Nasaud, Anul 2022, Numar persoane, 1445
4 ani, Total, Urban, Bistrita-Nasaud, Anul 2023, Numar persoane, 1447
4 ani, Total, Urban, Cluj, Anul 2021, Numar persoane, 4544
4 ani, Total, Urban, Cluj, Anul 2022, Numar persoane, 4309
4 ani, Total, Urban, Cluj, Anul 2023, Numar persoane, 4202
4 ani, Total, Urban, Maramures, Anul 2021, Numar persoane, 2781
4 ani, Total, Urban, Maramures, Anul 2022, Numar persoane, 2739
4 ani, Total, Urban, Maramures, Anul 2023, Numar persoane, 2646
4 ani, Total, Urban, Satu Mare, Anul 2021, Numar persoane, 1514
